video_id,title,description,published_at,views,likes,comments,channel
VeNfHj6MhgA,Vue.js Crash Course,"3 Hour crash course of the Vue.js framework. You will learn all the fundamentals including components, directives, lifecycle, events and much more.

Check Out Our Sponsor Daily.dev:
https://daily.dev/traversy-media

Full Project Code:
https://github.com/bradtraversy/vue-crash-2024

Blog Post:
https://www.traversymedia.com/blog/vue-crash-course

Check Out My Courses:
https://traversymedia.com

Timestamps:
0:00 - Intro
2:19 - Daily.dev Sponsor
3:11 - What is Vue.js?
4:45 - Prerequisites
6:17 - Role of Frontend Frameworks
8:40 - Why Vue.js?
11:14 - Vue Components
13:39 - Getting Setup
15:40 - Using The Vue CDN
20:54 - Create-Vue Setup
22:30 - Vue Official Extension
22:58 - Exploring Folders & Files
26:10 - Boilerplate Clean Up
26:50 - Component Structure
27:25 - Options API data() & Interpolation
28:36 - v-if, v-else & v-else-if Directives
30:43 - v-for Directive & Looping
32:17 - v-bind Directive
33:36 - v-on Directive, Events & Methods
35:55 - Composition API - Long Form
39:08 - ref() & Reactive Values
40:35 - Composition API Short Form
42:41 - Forms & v-model
46:38 - Delete task
48:36 - Lifecycle Methods
49:50 - onMounted & Fetching Data
51:58 - Vue Jobs Project Start
52:26 - Tailwind CSS Setup
56:47 - Theme Files & Images
58:16 - Navbar Component
1:01:20 - Hero Component
1:02:30 - Props
1:04:57 - HomeCards & Card Container Component
1:10:20 - JobListings Component & JSON Data
1:16:47 - JobListing Component
1:20:53 - JobListings Limit & showButton Props
1:24:26 - computed() & Truncate Description
1:30:41 - PrimeIcons
1:32:35 - Vue Router & Home View
1:39:52 - Jobs View
1:41:55 - RouterLink
1:46:07 - Navbar Active Link
1:50:42 - Not Found Page
1:56:27 - JSON Server REST API
1:59:50 - Fetch Data For JobListings
2:03:42 - reactive() Function
2:05:15 - JobListings Refactor To reactive()
2:07:26 - Vue Spinner
2:09:50 - Fetch Single Job & Display Data
2:19:06 -BackButton Component
2:21:03 - Proxying
2:23:54 - Add Job Page
2:32:20 - Save Job POST
2:37:15 - Toast Notifications
2:40:08 - Delete Job
2:44:14 - Edit Page
2:47:06 - Fetch Job To Edit
2:50:58 - Update Job
2:52:50 - Netlify Deployment",2024-07-01T14:00:32Z,552123,10977,670,competitor_1
M4TufsFlv_o,Bun in 100 Seconds,"Bun is a mega-fast JavaScript runtime for developers who want to nope out of their node modules folder. Let's run bun run. 

#coding #programming #softwaredevelopment 

🔗 Resources
- https://bun.com/docs

📚 Chapters

🔥 Brain food for developers
- https://fireship.dev

🎨 My Editor Settings

- Atom One Dark 
- vscode-icons
- Fira Code Font

🔖 Topics Covered
- The history of JavaScript runtimes
- What is Bun?
- How does Bun work?
- Bun demo",2026-01-22T19:14:29Z,241207,19356,970,competitor_2
9uW6B9LPntY,A brief history of programming...,"Try out the Junie coding agent in your JetBrains IDE - https://jb.gg/Fireship-Junie-AI

Computing has come a long way since we figured out that 1s and 0s were pretty useful. In today's video, we look at the history of programming from the Turing machine to modern JavaScript...

#coding #programming #tech #softwaredevelopment 

🔥 Brain food for developers
- https://fireship.dev

🎨 My Editor Settings

- Atom One Dark 
- vscode-icons
- Fira Code Font

🔖 Topics Covered
- Alan Turing
- Werner Buchholz
- Kathleen Booth
- John McCarthey
- Edsger Dijkstra
- Dennis Ritchie
- Ken Thompson
- Bjarne Stroustrup
- Anders Hejlsberg
- Guido Van Rossum
- James Gosling
- Brendan Eich",2026-01-20T17:58:16Z,452440,30965,1202,competitor_2
MFsYaRnrcPQ,.NET in 100 Seconds,".NET is a free and open-source platform for creating high-performance software in virtually every domain, powered primarily by the C# programming language.

#coding #programming #softwaredevelopment 

🔗 Resources
- https://learn.microsoft.com/en-us/dotnet/

🔥 Brain food for developers
- https://fireship.dev

🎨 My Editor Settings

- Atom One Dark 
- vscode-icons
- Fira Code Font

🔖 Topics Covered

- The history of .NET
- .NET explained
- The .Net ecosystem
- What can you build in .NET?
- .NET demo",2026-01-16T17:03:35Z,408298,22160,1402,competitor_2
EKOU3JWDNLI,The unhinged world of tech in 2026...,"Try Brilliant for free for 30 days - https://brilliant.org/fireship and get 20% off a premium annual subscription.

From household robots to quantum computing...  In today's video, we'll look at 10 technology trends that are set to define 2026 for developers.  

#tech #coding #programming #ai 

💬 Chat with Me on Discord

https://discord.gg/fireship

🎨 My Editor Settings

- Atom One Dark 
- vscode-icons
- Fira Code Font

🔖 Topics Covered

- Developer Job Market
- AI Bubble
- Robotics
- Wearable AI
- AR / VR
- Chip Dominance
- Nuclear Power
- Quantum Computing
- Digital Tyranny
- Javascript",2026-01-14T19:01:19Z,1138297,43018,1343,competitor_2
rEvEXQvo-F8,OpenAI was dead… Then GPT-5.2 dropped,"Deploying on Railway feels like magic. Get $20 in free credits to try it out - https://railway.com/?referralCode=fireship

Sam Altman declared a code red, and OpenAI responded. GPT-5.2 is now at the top of most leaderboards and benchmarks, but is this actually getting us closer to real AGI, or is it just more smoke and mirrors to keep the hype train going?

#Coding #AI #OpenAI #ChatGPT

💬 Chat with Me on Discord

https://discord.gg/fireship

🔗 Resources
- https://openai.com/index/introducing-gpt-5-2/

📚 Chapters
- Sam Altman’s Code Red Aarm
- GPT 5.2 Arc Benchmarks
- OpenAI Disney Deal
- McDonalds AI Commercial

🔥 Get More Content - Upgrade to PRO

Upgrade at https://fireship.io/pro
Use code YT25 for 25% off PRO access 

🎨 My Editor Settings

- Atom One Dark 
- vscode-icons
- Fira Code Font

🔖 Topics Covered",2025-12-12T22:19:10Z,617635,20707,1243,competitor_2
QLK9G5zyU-Q,React.js shell shocked by 10.0 critical vulnerability…,"Try out Genspark’s all-in-one AI workspace for free - https://www.genspark.ai/?utm_source=yt&utm_campaign=fireship

The JavaScript world just got rocked by a 10.0 critical vulnerability called React2Shell (a.k.a. CVE-2025-55182). Let's find out how this React exploit actually works...

#Coding #programming #javascript #react  

💬 Chat with Me on Discord

https://discord.gg/fireship

🔗 Resources
- https://github.com/facebook/react/security/advisories/GHSA-fv66-9v8q-g76r

🔥 Get More Content - Upgrade to PRO

Upgrade at https://fireship.io/pro
Use code YT25 for 25% off PRO access 

🎨 My Editor Settings

- Atom One Dark 
- vscode-icons
- Fira Code Font

🔖 Topics Covered

- What is React2Shell?
- CVE-2025-55182 explained
- React Flight
- Which React devs are affected?
- What should you do?",2025-12-09T19:58:38Z,488578,16901,891,competitor_2
5JMiNsV7P3Y,Anthropic just bought your favorite JS runtime...,"Try Brilliant for free - https://brilliant.org/fireship and get 20% off a premium annual subscription

Anthropic just bought Bun - the super fast JavaScript runtime that's  universally loved by developers. In today's video, we'll break down why they did it, how Bun got here, and what their marriage might look like.

💬 Chat with Me on Discord

https://discord.gg/fireship

🔗 Resources
https://bun.com/blog/bun-joins-anthropic
https://www.anthropic.com/news/anthropic-acquires-bun-as-claude-code-reaches-usd1b-milestone

📚 Chapters

🔥 Get More Content - Upgrade to PRO

Upgrade at https://fireship.io/pro
Use code YT25 for 25% off PRO access 

🎨 My Editor Settings

- Atom One Dark 
- vscode-icons
- Fira Code Font

🔖 Topics Covered",2025-12-05T21:43:51Z,398951,14042,518,competitor_2
S6wc6yvoZLY,AI agents are paying each other now…,"Get up to 67% off Docker VPS to self-host your own app. Use code FIRESHIP for an extra discount -  https://hostinger.com/fireshipdocker

Earlier this year, Coinbase changed online payments forever with a new protocol called x402. But could this technology really usher in a new age of 'machine to machine' payments? Let's run it...

#ai #programming #coding 

💬 Chat with Me on Discord
- https://discord.gg/fireship

🔗 Resources
- https://www.x402.org/
- https://developer.mozilla.org/en-US/docs/Web/HTTP/Reference/Status/402

🔥 Get More Content - Upgrade to PRO

Upgrade at https://fireship.io/pro
Use code YT25 for 25% off PRO access 

🎨 My Editor Settings

- Atom One Dark 
- vscode-icons
- Fira Code Font

🔖 Topics Covered
- HTTP 402 Status Code
- x402
- x402 vs Stripe
- Machine to machine payments
- x402 demo",2025-11-26T18:20:32Z,470409,19268,905,competitor_2
bsL7ZnKIAhs,Did Google just kill OpenAI?,"Get 20% off Mobbin Pro to make your apps not ugly - https://mobbin.com/fireship

Gemini 3 may have just put Google in prime position to have the best-performing AI model by the end of the year. But how powerful is it really?

#ai #coding #tech 

💬 Chat with Me on Discord

https://discord.gg/fireship

🔗 Resources
- https://blog.google/products/gemini/gemini-3/

🔥 Get More Content - Upgrade to PRO

Upgrade at https://fireship.io/pro
Use code YT25 for 25% off PRO access 

🎨 My Editor Settings

- Atom One Dark 
- vscode-icons
- Fira Code Font

🔖 Topics Covered
- Gemini 3 release
- Gemini 3 benchmarks
- Google Antigravity",2025-11-21T19:26:50Z,925892,31157,1250,competitor_2
tF_4baiIUiQ,The entire internet just crashed... again,"Break prod less with Sentry’s AI Code Review - https://sentry.io/fireship

This week, it was Cloudflare's turn to take down your favourite domain.  In today's video, we'll try to find out why the internet keeps falling apart...

#programming #coding #cloudflare 

💬 Chat with Me on Discord

https://discord.gg/fireship

🔗 Resources
- https://blog.cloudflare.com/18-november-2025-outage/

🔥 Get More Content - Upgrade to PRO

Upgrade at https://fireship.io/pro
Use code YT25 for 25% off PRO access 

🎨 My Editor Settings

- Atom One Dark 
- vscode-icons
- Fira Code Font

🔖 Topics Covered
- Cloudflare outage explained
- Which sites were affected
- Why is the internet falling apart?",2025-11-19T18:14:26Z,753506,32134,1634,competitor_2
Q8QdKRbC1O0,The gaming console wars just got weird...,"Try Brilliant for free - https://brilliant.org/fireship and get 20% off a premium annual subscription

Valve just dropped the Steam Machine  - a console-like gaming pc that runs Arch under the hood. In today's video, we'll break down the details and ask if 2026 will finally be the year of the Linux desktop. 

#coding #linux  #steam  #steamos  #valve 

💬 Chat with Me on Discord

https://discord.gg/fireship

🔗 Resources
- https://store.steampowered.com/sale/steammachine

🔥 Get More Content - Upgrade to PRO

Upgrade at https://fireship.io/pro
Use code YT25 for 25% off PRO access 

🎨 My Editor Settings

- Atom One Dark 
- vscode-icons
- Fira Code Font

🔖 Topics Covered
- Valve Announce the Steam Machine
- What is SteamOS
- Proton Compatibility Layer
- Will it run GTA6?",2025-11-14T18:30:07Z,662357,27421,1564,competitor_2
IIj9UWpvSFI,This new JS framework wants you to quit React…,"Test drive the Kiro AI IDE for free - https://fandf.co/3IG1vCK

RippleJS is a TypeScript UI framework that combines the best parts of React, Solid, and Svelte into one package. Let's run it...

#coding  #programming #webdevelopment  

💬 Chat with Me on Discord

https://discord.gg/fireship

🔗 Resources
- https://www.ripplejs.com/

📚 Chapters

🔥 Get More Content - Upgrade to PRO

Upgrade at https://fireship.io/pro
Use code YT25 for 25% off PRO access 

🎨 My Editor Settings

- Atom One Dark 
- vscode-icons
- Fira Code Font

🔖 Topics Covered

- Who is Dominic Gannaway?
- What is RippleJS?
- Ripple key features
- Typescript",2025-11-06T18:01:21Z,288858,11160,738,competitor_2
HIp8sFB2GGw,Cursor 2.0 is here... 5 things you didn't know it can do,"Build better apps with PostHog - https://posthog.com/fireship

Cursor, the IDE of choice for any self-respecting vibe engineer, just released version 2.0.

In today's video, we'll take a first look at 5 new features every developer should know about.

#coding #programming #ai

💬 Chat with Me on Discord

https://discord.gg/fireship

🔗 Resources
- https://cursor.com/blog/2-0

🔥 Get More Content - Upgrade to PRO

Upgrade at https://fireship.io/pro
Use code YT25 for 25% off PRO access 

🎨 My Editor Settings

- Atom One Dark 
- vscode-icons
- Fira Code Font

🔖 Topics Covered
- Cursor 2.0 First Look
- Cursor Composer 1
- Agent Layout
- Native Browser
- Parallel Agents
- In-editor Bugbot",2025-10-30T17:07:19Z,1008568,29886,1171,competitor_2
HqL0xhwDz9s,US-EAST-1 is humanity’s weakest link…,"Traycer’s orchestration tool makes your coding agents smarter. Try it - https://traycer.ai

Yesterday, over 2,500 internet services got wrecked by the most catastrophic cloud outage in history, courtesy of AWS.

In today's video, we'll break down the technical details and explain how the world's addiction to cloud computing brought us all to our knees.

#aws #tech #coding #programming

💬 Chat with Me on Discord

https://discord.gg/fireship

🔗 Resources
- https://www.techradar.com/news/live/amazon-web-services-alexa-ring-snapchat-fortnite-down-october-2025
- https://www.youtube.com/watch?v=UVR9lhUGAyU

🔥 Get More Content - Upgrade to PRO

Upgrade at https://fireship.io/pro
Use code YT25 for 25% off PRO access 

🎨 My Editor Settings

- Atom One Dark 
- vscode-icons
- Fira Code Font

🔖 Topics Covered
- How AWS brought down the internet
- How cloud storage works
- US-EAST-1
- WTF is DNS?",2025-10-21T16:54:32Z,1137245,43976,1912,competitor_2
PLKrSVuT-Dg,How to make vibe coding not suck…,"Deploy your app the easy way with Sevalla and get $50 in free credits - https://sevalla.com/fireship

AI coding may be overhyped but Model Context Protocols are making it possible for experienced devs to vibe code responsibly. In today's video, we'll look at 7 MCP servers that make programming with AI suck less...

#coding #programming #ai

💬 Chat with Me on Discord

https://discord.gg/fireship

🔗 Resources
- https://svelte.dev/docs/mcp/overview
- https://www.figma.com/mcp-catalog/
- https://awslabs.github.io/mcp/
- https://docs.stripe.com/mcp
- https://docs.sentry.io/product/sentry-mcp/
- https://github.com/github/github-mcp-server
- https://github.com/sooperset/mcp-atlassian

📚 Chapters
1. Framework optimizers
2. Design implementers
3. API executers
4. Error catchers
5. QA terminators
6. Infra scalers
7. Build your own

🔥 Get More Content - Upgrade to PRO

Upgrade at https://fireship.io/pro
Use code YT25 for 25% off PRO access 

🎨 My Editor Settings

- Atom One Dark 
- vscode-icons
- Fira Code Font

🔖 Topics Covered
- What is an MCP server?
- Vibe coding tips
- Programming with ai
- Best MCP servers for developers",2025-10-14T18:34:41Z,725670,26175,1143,competitor_2
